,Ad No,Name,Price,priceNotes,Model Year,Location,Mileage,Registered City,Engine Type,Engine Capacity,Transmission,Color,Assembly,Body Type,Last Updated,URL, ABS, AM/FM Radio, Air Bags, Air Conditioning,AM/FM Radio,Air Bags,Air Conditioning,Alloy Rims,CD Player,Cassette Player,Climate Control,Cruise Control,DVD Player,Front Camera,Front Speakers,Immobilizer Key,Keyless Entry,Navigation System,Power Locks,Power Mirrors,Power Steering,Power Windows,Rear AC Vents,Rear Camera,Rear Speakers,Steering Switches,Sun Roof,USB and Auxillary Cable,AgeScore,MileageScore,PriceScore,CarValueScore
14,7504030,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2013,3130000.0,,2013,"
                      ",92000,,Petrol,1800 cc,Automatic,Alabaster Silver,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-karachi-7504030,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0.5,0.54,-103.33333333333333,-34.09777777777777
15,7550808,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,6400000.0,,2021,"
                      ",30000,,Petrol,1798 cc,Automatic,Silver Metallic,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7550808,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.85,-212.33333333333334,-70.19444444444444
16,7550070,Toyota Corolla Altis Grande CVT-i 1.8 2020,6000000.0,,2020,"
                      ",62000,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-karachi-7550070,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.85,0.69,-199.0,-65.82000000000001
17,7550144,Toyota Corolla Altis Automatic 1.6 2015,3700000.0,,2015,"
                      ",119000,,Petrol,1600 cc,Automatic,Super White,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-7550144,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.405,-122.33333333333333,-40.44277777777778
18,7519664,Toyota Corolla Altis Grande CVT-i 1.8 2015,3850000.0,,2015,"
                      ",75000,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-7519664,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.6,0.625,-127.33333333333334,-42.03611111111112
19,7550980,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,7150000.0,,2022,"
                      ",12492,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7550980,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.95,0.93754,-237.33333333333334,-78.48193111111111
20,7551044,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,7250000.0,,2022,"
                      ",26000,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7551044,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.95,0.87,-240.66666666666666,-79.61555555555556
21,7467977,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,6450000.0,,2021,"
                      ",30000,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7467977,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.85,-214.0,-70.75
22,7545195,Toyota Corolla Altis Grande CVT-i 1.8 2020,,Call for price,2020,"
                      ",45000,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-karachi-7545195,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.85,0.775,,
23,7546120,Toyota Corolla Altis Grande CVT-i 1.8 2017,4950000.0,,2017,"
                      ",67000,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-7546120,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.7,0.665,-164.0,-54.211666666666666
24,7501285,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,7700000.0,,2022,"
                      ",47,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7501285,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.95,0.999765,-255.66666666666669,-84.57230055555556
25,7541868,Toyota Corolla Altis Grande 1.8 2018,5400000.0,,2018,"
                      ",64059,,Petrol,1800 cc,Manual,White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-karachi-7541868,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.679705,-179.0,-59.19009833333333
26,7545197,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,,Call for price,2021,"
                      ",20000,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7545197,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.9,,
27,7533771,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,6800000.0,,2022,"
                      ",25000,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7533771,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.95,0.875,-225.66666666666666,-74.6138888888889
28,7542709,Toyota Corolla Altis Grande CVT-i 1.8 2017,4500000.0,,2017,"
                      ",65000,,Petrol,1800 cc,Automatic,Black,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-7542709,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.7,0.675,-149.0,-49.208333333333336
29,7467781,Toyota Mark II Grande 2.0 2004,2500000.0,,2004,"
                      ",130000,,Petrol,2000 cc,Automatic,Silver,Imported,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-mark-ii-2004-for-sale-in-karachi-7467781,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0.050000000000000044,0.35,-82.33333333333333,-27.311111111111106
30,7503328,Toyota Corolla Altis Grande CVT-i 1.8 2020,6125000.0,,2020,"
                      ",30500,,Petrol,1798 cc,Automatic,Attitude Black,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-karachi-7503328,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.85,0.8475,-203.16666666666666,-67.15638888888888
31,7544664,Toyota Corolla Altis Grande CVT-i 1.8 2015,3850000.0,,2015,"
                      ",91000,,Petrol,1798 cc,Automatic,Graphite Grey,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-7544664,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.6,0.5449999999999999,-127.33333333333334,-42.06277777777778
32,7544740,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,7234999.999999999,,2022,"
                      ",18000,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7544740,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.95,0.91,-240.16666666666663,-79.43555555555554
33,7544796,Toyota Corolla Altis Grande CVT-i 1.8 2016,4175000.0,,2016,"
                      ",60000,,Petrol,1798 cc,Automatic,Silver Metallic,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-7544796,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.65,0.7,-138.16666666666666,-45.605555555555554
34,7481305,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,6475000.0,,2021,"
                      ",5000,,Petrol,1799 cc,Automatic,Super White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7481305,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.975,-214.83333333333334,-70.98611111111111
35,7485812,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,7400000.0,,2022,"
                      ",18000,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7485812,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0.95,0.91,-245.66666666666666,-81.26888888888888
36,7408327,Toyota Corolla Altis Grande CVT-i 1.8 2018,5000000.0,,2018,"
                      ",86959,,Petrol,1798 cc,Automatic,Silver Metallic,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-karachi-7408327,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.75,0.565205,-165.66666666666666,-54.78382055555556
37,7540903,Toyota Corolla Altis Grande CVT-i 1.8 2019,,Call for price,2019,"
                      ",42000,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-08,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-7540903,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.8,0.79,,
38,7533295,Toyota Mark II Grande 2.0 2003,2375000.0,,2003,"
                      ",82000,,Petrol,2000 cc,Automatic,White,Imported,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-mark-ii-2003-for-sale-in-karachi-7533295,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.0,0.5900000000000001,-78.16666666666667,-25.858888888888888
39,7546498,Toyota Corolla Altis Grande CVT-i 1.8 2014,3975000.0,,2014,"
                      ",48000,,Petrol,1800 cc,Automatic,Bronze,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-karachi-7546498,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.55,0.76,-131.5,-43.39666666666667
40,7419743,Toyota Corolla Altis Grande CVT-i 1.8 2019,5500000.0,,2019,"
                      ",63436,,Petrol,1798 cc,Automatic,Attitude Black,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-7419743,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.8,0.68282,-182.33333333333334,-60.283504444444446
41,7407811,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,7600000.0,,2022,"
                      ",8336,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7407811,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.95,0.95832,-252.33333333333334,-83.47500444444445
42,7092844,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,,Call for price,2022,"
                      ",12000,,Petrol,1798 cc,Automatic,Assembly,Local,Sedan,2023-06-09,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7092844,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.95,0.94,,
43,7544766,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,6559999.999999999,,2021,"
                      ",18700,,Petrol,1800 cc,Automatic,Black,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7544766,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.9065,-217.66666666666663,-71.95338888888888
44,7337988,Toyota Corolla Altis Grande CVT-i 1.8 2014,3740000.0,,2014,"
                      ",57400,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-09,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-karachi-7337988,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0.55,0.7130000000000001,-123.66666666666667,-40.80122222222222
45,7532042,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,6650000.0,,2021,"
                      ",17800,,Petrol,1800 cc,Automatic,Silver,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7532042,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.911,-220.66666666666666,-72.95188888888889
46,7354821,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,,Call for price,2021,"
                      ",24000,,Petrol,1799 cc,Automatic,Super White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7354821,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.88,,
47,7486001,Toyota Corolla Altis Grande CVT-i 1.8 2018,5500000.0,,2018,"
                      ",60665,,Petrol,1798 cc,Automatic,Attitude Black,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-karachi-7486001,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.75,0.6966749999999999,-182.33333333333334,-60.29555277777778
48,7501667,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,7650000.0,,2022,"
                      ",9579,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7501667,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.95,0.952105,-254.0,-84.03263166666666
49,7456236,Toyota Corolla Altis Grande CVT-i 1.8 2020,7000000.0,,2020,"
                      ",3165,,Petrol,1798 cc,Automatic,White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-karachi-7456236,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.85,0.984175,-232.33333333333334,-76.83305277777778
50,7541595,Toyota Corolla Altis Grande CVT-i 1.8 2020,6200000.0,,2020,"
                      ",49000,,Petrol,1798 cc,Automatic,Attitude Black,Local,Sedan,2023-06-09,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-karachi-7541595,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.85,0.755,-205.66666666666666,-68.02055555555556
51,7541227,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,6800000.0,,2021,"
                      ",16500,,Petrol,1799 cc,Automatic,Super White,Local,Sedan,2023-06-09,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7541227,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.9175,-225.66666666666666,-74.61638888888889
52,7541835,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,6800000.0,,2021,"
                      ",11000,,Petrol,1800 cc,Automatic,Silver,Local,Sedan,2023-06-09,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7541835,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.945,-225.66666666666666,-74.60722222222222
53,7542280,Toyota Corolla Altis Grande CVT-i 1.8 2018,5150000.0,,2018,"
                      ",38134,,Petrol,1800 cc,Automatic,Grey,Local,Sedan,2023-06-09,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-karachi-7542280,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.75,0.80933,-170.66666666666666,-56.36911222222222
54,7517169,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,7475000.0,,2022,"
                      ",11128,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7517169,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.95,0.94436,-248.16666666666666,-82.09076888888889
55,7541214,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,6600000.0,,2021,"
                      ",16500,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-09,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7541214,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.9175,-219.0,-72.39416666666666
56,7534802,Toyota Corolla Altis Grande CVT-i 1.8 2016,4200000.0,,2016,"
                      ",84000,,Petrol,1798 cc,Automatic,Bronze Mica,Local,Sedan,2023-06-08,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-7534802,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0.65,0.5800000000000001,-139.0,-45.92333333333334
57,7539119,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,6700000.0,,2021,"
                      ",30000,,Petrol,1799 cc,Automatic,Super White,Local,Sedan,2023-06-09,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7539119,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.85,-222.33333333333334,-73.52777777777779
58,7540088,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,7200000.0,,2022,"
                      ",20000,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-08,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7540088,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.95,0.9,-239.0,-79.05
59,7542673,Toyota Corolla Altis Grande CVT-i 1.8 2020,5600000.0,,2020,"
                      ",46000,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-09,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-karachi-7542673,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.85,0.77,-185.66666666666666,-61.34888888888889
60,7540663,Toyota Corolla Altis Grande CVT-i 1.8 2017,4900000.0,,2017,"
                      ",57000,,Petrol,1798 cc,Automatic,Graphite Grey,Local,Sedan,2023-06-08,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-7540663,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.7,0.7150000000000001,-162.33333333333334,-53.63944444444445
61,7542742,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,6550000.0,,2021,"
                      ",18500,,Petrol,1800 cc,Automatic,Black,Local,Sedan,2023-06-09,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7542742,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.9075,-217.33333333333334,-71.84194444444445
